neighbourhoodd,2015population,2015crimerate,2016population,2016crimerate,2016brightness,2017population,2017crimerate,2017brightness,2018_POP_EST,2018population,2018crimerate,2018brightness,2019population,crimerate,brightness,type,community,target
Stonebridge - Half Moon Bay - Heart's Desire,15744.86568,12.57552805,16283.38638,10.37867653,0,17153.84675,10.6098651,0,18316.74834,37579.13907,15.39574573,0,19372.32951,15.53762545,0,safe,97,0
Tanglewood,5530.091543,21.51863112,5507.812945,22.69503363,0,5506.059312,25.24491512,0,5505.966557,18316.74834,26.69830964,0,5499.186494,27.45860686,0,safe,951,0
Trend-Arlington,4926.070516,11.36808737,4878.151116,14.55469466,0,4845.602239,13.41422527,0,4818.922485,5505.966557,18.05382848,0,4806.178954,16.64523955,0,safe,952,0
Vanier North,11488.26846,47.78788048,11500.77814,50.95307405,0,11695.95373,51.12879325,33,11591.59853,4818.922485,62.80410749,0,11936.53509,72.80169608,1,risk,99,0
Vanier South,7396.425207,77.60505703,7407.645964,89.50211757,0,7421.265416,99.44395714,10,7351.65983,11591.59853,97.1209246,0,7657.057061,115.1878578,0,highrisk,100,0
Vars,2897.832552,11.73290706,2904.875068,19.2779375,4,2937.729313,14.29675628,0,2948.878782,7351.65983,16.61648498,0,2963.429401,17.20979078,0,safe,953,0
Wateridge Village,3527.825533,10.20458627,3514.694087,18.20926613,7,3698.119012,11.08671729,14,4036.644742,2948.878782,13.37744673,52,4260.193055,14.78806223,64,safe,954,0
West Centretown,12188.94899,63.50014267,12410.10875,74.7777492,0,12542.33435,79.57051473,0,12478.36116,4036.644742,77.41401193,0,12992.32866,82.04841705,0,risk,955,0
Westboro,13543.10549,36.69763927,13886.71504,42.91871751,0,1+G110:H1123964.4824622649,44.61318217,0,14112.02372,12478.36116,57.61044739,0,14228.89945,70.98229936,0,risk,956,0
Whitehaven - Queensway Terrace North,12509.88128,25.41990551,12495.79096,28.08945838,0,12540.60392,27.2714139,1,12588.46902,14112.02372,32.17229986,0,12603.68761,37.05264796,0,less safe,957,0
Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,8180.709347,17.60238555,8103.449517,23.19999645,0,8145.541921,16.94178255,0,8113.703625,12588.46902,25.88213838,0,8103.639129,21.71863742,0,safe,958,0
