,Pole ID,Install Pole Date,Install Light Date and Time,Install Light Date,Street Light installed month,Street Light installed year,Street Light installed month and year,Head Style,Refractor,Light Type,Bracket Length,Pole Height,Pole Type,Number of Lights,Light Source,Wattage,Year 1 LE,Street Name,Neighbourhood
980,2061057,,2017/09/05 00:00:00+00,9/5/2017,September,2017,18-Dec,GCL160G, ,SL,3,9.8,DAVIT-ALUMINUM,1,LED,135,97,CAMPEAU DRIVE,Kanata-lakes
981,2055595,,2017/08/27 00:00:00+00,8/27/2017,August,2017,18-Dec,GCL160G, ,SL,1.8,11.2,ALUMINUM,1,LED,135,122,MARCH ROAD,Kanata-lakes
982,2069910,,2017/08/27 00:00:00+00,8/27/2017,August,2017,18-Dec,GCL160G, ,SL,1.8,11.2,ALUMINUM,1,LED,135,122,MARCH ROAD,Kanata
983,2055260,,2017/05/24 00:00:00+00,5/24/2017,May,2017,17-Jul,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,75,MARCH ROAD,Kanata-Katimavik-Hazeldean
984,2067378,,2017/06/28 00:00:00+00,6/28/2017,June,2017,17-Feb,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,73,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
985,2068003,,2017/06/28 00:00:00+00,6/28/2017,June,2017,17-Jun,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,73,TERRY FOX DRIVE,Kanata
986, ,2019/06/12 00:00:00+00,2019/06/12 00:00:00+00,6/12/2019,June,2019,17-Dec,L40U, ,SL,1.4,9.1,MADISON,1,LED,80,0,MERRIL STREET,Stittsville - Basswood
987,2061080,,2017/05/23 00:00:00+00,5/23/2017,May,2017,17-Jun,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,97,MARCH ROAD,Stittsville - Basswood
988, ,2019/06/12 00:00:00+00,2019/06/12 00:00:00+00,6/12/2019,June,2019,17-Jun,LNX1, ,PL,0,6.1,HAMPTON,1,LED,27,0,VIVERA PLACE,Stittsville - Basswood
989,2056204,,2017/06/27 00:00:00+00,6/27/2017,June,2017,17-Jul,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,85,TERRY FOX DRIVE,Stittsville
